Model,Domain,Horizon,MSE,MAE,RMSE,R2
StandardLSTM,In-Domain (Azure),T+5,0.0174377653747797,0.09641324728727341,0.13205213127693055,0.9444679617881775
StandardLSTM,In-Domain (Azure),T+10,0.02208857797086239,0.11200966686010361,0.14862226606690665,0.9297037124633789
StandardLSTM,In-Domain (Azure),T+15,0.02690182626247406,0.12759509682655334,0.1640177620334885,0.9144418835639954
SG-TCN-LSTM,In-Domain (Azure),T+5,0.01368492841720581,0.0851762667298317,0.11698259877950143,0.9564191699028015
SG-TCN-LSTM,In-Domain (Azure),T+10,0.021356238052248955,0.11003439128398895,0.14613773657836965,0.9320343732833862
SG-TCN-LSTM,In-Domain (Azure),T+15,0.024516914039850235,0.1208580881357193,0.15657877902145692,0.9220268130302429
BiLSTM-Attention,In-Domain (Azure),T+5,0.018696190789341927,0.09615131467580795,0.13673401474886168,0.9404603838920593
BiLSTM-Attention,In-Domain (Azure),T+10,0.02444223314523697,0.11262361705303192,0.15634012007554865,0.9222133159637451
BiLSTM-Attention,In-Domain (Azure),T+15,0.029177669435739517,0.1296852082014084,0.17081472253801636,0.9072038531303406
TCN-DualAtt-BiLSTM,In-Domain (Azure),T+5,0.01277137454599142,0.08250495791435242,0.11301050635224771,0.9593284726142883
TCN-DualAtt-BiLSTM,In-Domain (Azure),T+10,0.021309366449713707,0.11030268669128418,0.145977280594323,0.932183563709259
TCN-DualAtt-BiLSTM,In-Domain (Azure),T+15,0.024297986179590225,0.11937709152698517,0.1558781132153909,0.922723114490509
