Domain,Model,Horizon,MSE,MAE,RMSE,R2
cloud_azure,StandardLSTM,T+5,0.020786570385098457,0.08415190875530243,0.14417548468827304,-0.001302480697631836
cloud_azure,StandardLSTM,T+10,0.020770054310560226,0.08300089836120605,0.14411819562622974,-0.0005128383636474609
cloud_azure,StandardLSTM,T+15,0.020780403167009354,0.07900336384773254,0.144154095214147,-0.0007151365280151367
cloud_azure,SG-TCN-LSTM,T+5,0.020768702030181885,0.07958627492189407,0.14411350398273537,-0.00044167041778564453
cloud_azure,SG-TCN-LSTM,T+10,0.020763371139764786,0.08023957163095474,0.144095007338092,-0.00019097328186035156
cloud_azure,SG-TCN-LSTM,T+15,0.020770790055394173,0.08080389350652695,0.14412074817802664,-0.00025212764739990234
cloud_azure,BiLSTM-Attention,T+5,0.020878834649920464,0.08767061680555344,0.14449510251188608,-0.005746960639953613
cloud_azure,BiLSTM-Attention,T+10,0.020789043977856636,0.08432282507419586,0.14418406284280047,-0.0014276504516601562
cloud_azure,BiLSTM-Attention,T+15,0.020905956625938416,0.0746244266629219,0.14458892290192363,-0.006761312484741211
cloud_azure,TCN-DualAtt-BiLSTM,T+5,0.02077343314886093,0.07899262011051178,0.1441299176051278,-0.0006695985794067383
cloud_azure,TCN-DualAtt-BiLSTM,T+10,0.020760472863912582,0.0805254876613617,0.14408495016452127,-5.125999450683594e-05
cloud_azure,TCN-DualAtt-BiLSTM,T+15,0.020784931257367134,0.08371847867965698,0.14416980008783786,-0.0009331703186035156
web_nasa,StandardLSTM,T+5,0.017659196630120277,0.10698291659355164,0.13288791002239547,0.3985002636909485
web_nasa,StandardLSTM,T+10,0.017517685890197754,0.10668464004993439,0.1323543950543304,0.40330612659454346
web_nasa,StandardLSTM,T+15,0.017681647092103958,0.10728564113378525,0.13297235461592743,0.3976549506187439
web_nasa,SG-TCN-LSTM,T+5,0.017583541572093964,0.1069546639919281,0.13260294707167697,0.4010772109031677
web_nasa,SG-TCN-LSTM,T+10,0.017922962084412575,0.10791005939245224,0.13387666743840232,0.3895014524459839
web_nasa,SG-TCN-LSTM,T+15,0.017748471349477768,0.10745728760957718,0.1332233888980376,0.39537858963012695
web_nasa,BiLSTM-Attention,T+5,0.01743529736995697,0.1063358411192894,0.13204278613372625,0.40612661838531494
web_nasa,BiLSTM-Attention,T+10,0.0174944419413805,0.10658583790063858,0.1322665563979818,0.40409785509109497
web_nasa,BiLSTM-Attention,T+15,0.017482711002230644,0.10654234141111374,0.13222220313635166,0.4044319987297058
web_nasa,TCN-DualAtt-BiLSTM,T+5,0.01769975945353508,0.10755104571580887,0.13304044292445466,0.39711862802505493
web_nasa,TCN-DualAtt-BiLSTM,T+10,0.017544258385896683,0.1067252829670906,0.13245474089626494,0.4024009704589844
web_nasa,TCN-DualAtt-BiLSTM,T+15,0.017689699307084084,0.10731419920921326,0.13300262894801773,0.3973807096481323
micro_rs_anomic,StandardLSTM,T+5,0.06435390561819077,0.19433759152889252,0.25368071589734753,-0.0007290840148925781
micro_rs_anomic,StandardLSTM,T+10,0.06431140750646591,0.19113703072071075,0.2535969390715628,-0.00017964839935302734
micro_rs_anomic,StandardLSTM,T+15,0.06431778520345688,0.19181466102600098,0.2536095132353218,-0.00017154216766357422
micro_rs_anomic,SG-TCN-LSTM,T+5,0.06442219018936157,0.19525980949401855,0.2538152678413211,-0.0017910003662109375
micro_rs_anomic,SG-TCN-LSTM,T+10,0.0648132935166359,0.19975101947784424,0.25458455082081455,-0.00798499584197998
micro_rs_anomic,SG-TCN-LSTM,T+15,0.06436102837324142,0.19300507009029388,0.2536947543274031,-0.0008438825607299805
micro_rs_anomic,BiLSTM-Attention,T+5,0.06444749981164932,0.19596600532531738,0.2538651212980021,-0.0021845102310180664
micro_rs_anomic,BiLSTM-Attention,T+10,0.06437405943870544,0.1948278844356537,0.2537204355953723,-0.0011539459228515625
micro_rs_anomic,BiLSTM-Attention,T+15,0.06431128084659576,0.19150224328041077,0.25359668934470686,-7.033348083496094e-05
micro_rs_anomic,TCN-DualAtt-BiLSTM,T+5,0.06440981477499008,0.19533303380012512,0.25379088788802107,-0.0015984773635864258
micro_rs_anomic,TCN-DualAtt-BiLSTM,T+10,0.06430817395448685,0.19280309975147247,0.2535905636148294,-0.00012934207916259766
micro_rs_anomic,TCN-DualAtt-BiLSTM,T+15,0.06488588452339172,0.20028720796108246,0.25472707850440973,-0.00900566577911377
micro_train_ticket,StandardLSTM,T+5,0.05806431546807289,0.19646336138248444,0.24096538230225703,-0.011371016502380371
micro_train_ticket,StandardLSTM,T+10,0.05791783705353737,0.19626806676387787,0.24066124958858118,-0.008874893188476562
micro_train_ticket,StandardLSTM,T+15,0.058326397091150284,0.19683848321437836,0.24150858595741537,-0.016039609909057617
micro_train_ticket,SG-TCN-LSTM,T+5,0.05775782838463783,0.19614966213703156,0.2403285842022081,-0.006032586097717285
micro_train_ticket,SG-TCN-LSTM,T+10,0.05789878964424133,0.19627663493156433,0.2406216732637385,-0.008543133735656738
micro_train_ticket,SG-TCN-LSTM,T+15,0.05765552818775177,0.19600500166416168,0.24011565585723846,-0.004353165626525879
micro_train_ticket,BiLSTM-Attention,T+5,0.05999770388007164,0.1994829773902893,0.244944287298299,-0.04504704475402832
micro_train_ticket,BiLSTM-Attention,T+10,0.05743841454386711,0.19556863605976105,0.23966312720956287,-0.0005238056182861328
micro_train_ticket,BiLSTM-Attention,T+15,0.05912739410996437,0.19810815155506134,0.24316125125102553,-0.02999293804168701
micro_train_ticket,TCN-DualAtt-BiLSTM,T+5,0.05983755737543106,0.1992390900850296,0.24461716492395022,-0.04225754737854004
micro_train_ticket,TCN-DualAtt-BiLSTM,T+10,0.05804727226495743,0.19645985960960388,0.24093001528443364,-0.011129617691040039
micro_train_ticket,TCN-DualAtt-BiLSTM,T+15,0.05767374485731125,0.19584472477436066,0.24015358597637315,-0.004670500755310059
